run,method,source,query,n_removed,filter_change,random_mean,random_sd,random_n,rank,z,percentile
plan_adam_eps1e17_4k_bs256,proponents,ekfac,0,40,0.007384777069091797,8.139372221194208e-05,0.0008130159112624824,100,1,8.983075540968049,0.9900990099009901
plan_adam_eps1e17_4k_bs256,proponents,ekfac,1,40,0.009353399276733398,0.0001005387312034145,0.0007979093352332711,100,1,11.596380863027356,0.9900990099009901
plan_adam_eps1e17_4k_bs256,proponents,ekfac,2,40,0.01202535629272461,-4.187345621176064e-05,0.0008534135413356125,100,1,14.13995579452708,0.9900990099009901
plan_adam_eps1e17_4k_bs256,proponents,ekfac,3,40,0.006475687026977539,-6.6995621637033764e-06,0.0006676022312603891,100,1,9.70995345072907,0.9900990099009901
plan_adam_eps1e17_4k_bs256,proponents,ekfac,4,40,0.00958561897277832,4.681110294768587e-05,0.0007034409791231155,100,1,13.560210668592797,0.9900990099009901
plan_adam_eps1e17_4k_bs256,proponents,ekfac,5,40,0.016123056411743164,-0.0001982188259717077,0.0008803176460787654,100,1,18.540211377581024,0.9900990099009901
plan_adam_eps1e17_4k_bs256,proponents,ekfac,6,40,0.014151811599731445,-0.00013031958951614797,0.0009285151027143002,100,1,15.38168969734264,0.9900990099009901
plan_adam_eps1e17_4k_bs256,proponents,ekfac,7,40,0.010548114776611328,-7.314920367207378e-05,0.0007758881547488272,100,1,13.689168877338703,0.9900990099009901
plan_adam_eps1e17_4k_bs256,proponents,ekfac,8,40,0.008279085159301758,-8.887052536010742e-05,0.0008689541718922555,100,1,9.629916001714571,0.9900990099009901
plan_adam_eps1e17_4k_bs256,proponents,ekfac,9,40,0.014379739761352539,8.581399742979556e-05,0.0008230260573327541,100,1,17.367525167120714,0.9900990099009901
plan_adam_eps1e17_4k_bs256,proponents,ekfac,10,40,0.014130353927612305,-5.2354334911797196e-05,0.000705515209119767,100,1,20.102625824635442,0.9900990099009901
plan_adam_eps1e17_4k_bs256,proponents,ekfac,11,40,0.01588273048400879,0.0001642918650759384,0.0007596206851303577,100,1,20.69248366536441,0.9900990099009901
plan_adam_eps1e17_4k_bs256,proponents,ekfac,12,40,0.006726503372192383,0.00010771513188956305,0.0006152346613816917,100,1,10.758152386015395,0.9900990099009901
plan_adam_eps1e17_4k_bs256,proponents,ekfac,13,40,0.006439685821533203,0.00014483928680419922,0.0009551402763463557,100,1,6.5904942871934225,0.9900990099009901
plan_adam_eps1e17_4k_bs256,proponents,ekfac,14,40,0.007113456726074219,0.00017953396309167147,0.0007594922208227217,100,1,9.129682402107239,0.9900990099009901
plan_adam_eps1e17_4k_bs256,proponents,ekfac,15,40,0.0059587955474853516,9.062051685759798e-05,0.0006896876147948205,100,1,8.508453544397073,0.9900990099009901
plan_adam_eps1e17_4k_bs256,proponents,ekfac,16,40,0.007868289947509766,-1.338243509962922e-05,0.0007061325013637543,100,1,11.161747076345465,0.9900990099009901
plan_adam_eps1e17_4k_bs256,proponents,ekfac,17,40,0.03881049156188965,0.00013564586697611958,0.0011976653477177024,100,1,32.291863306067235,0.9900990099009901
plan_adam_eps1e17_4k_bs256,proponents,ekfac,18,40,0.0047893524169921875,0.00016634703206364065,0.0009035649709403515,100,1,5.116406161825116,0.9900990099009901
plan_adam_eps1e17_4k_bs256,proponents,ekfac,19,40,0.014490842819213867,4.531860395218246e-05,0.0010053734295070171,100,1,14.368317076317622,0.9900990099009901
