run_id,sweep_group,selects_lr_for,model,optimizer,n_docs,batch_size,grad_accum_steps,num_epochs,steps,warmup,weight_decay,eps_root,seed,lr,heldout_loss,status,run_dir
tune_qwen15b_4k_bs256_lr1e-05_s42,tune_qwen15b_4k_bs256,qwen15b_4k_bs256,qwen2.5-1.5b,adamw,4000,256,64,2,32,0.25,0.01,1e-17,42,1e-05,2.6537,measured,/mnt/ssd-2/lucia/paper_runs/tuning/tune_qwen15b_4k_bs256_lr1e-05_s42
tune_qwen15b_4k_bs256_lr2e-05_s42,tune_qwen15b_4k_bs256,qwen15b_4k_bs256,qwen2.5-1.5b,adamw,4000,256,64,2,32,0.25,0.01,1e-17,42,2e-05,2.6464,measured,/mnt/ssd-2/lucia/paper_runs/tuning/tune_qwen15b_4k_bs256_lr2e-05_s42
tune_qwen15b_4k_bs256_lr5e-05_s42,tune_qwen15b_4k_bs256,qwen15b_4k_bs256,qwen2.5-1.5b,adamw,4000,256,64,2,32,0.25,0.01,1e-17,42,5e-05,2.6485,measured,/mnt/ssd-2/lucia/paper_runs/tuning/tune_qwen15b_4k_bs256_lr5e-05_s42
tune_qwen15b_4k_bs256_lr0.0001_s42,tune_qwen15b_4k_bs256,qwen15b_4k_bs256,qwen2.5-1.5b,adamw,4000,256,64,2,32,0.25,0.01,1e-17,42,0.0001,2.7005,measured,/mnt/ssd-2/lucia/paper_runs/tuning/tune_qwen15b_4k_bs256_lr0.0001_s42
tune_qwen15b_4k_bs256_lr0.0002_s42,tune_qwen15b_4k_bs256,qwen15b_4k_bs256,qwen2.5-1.5b,adamw,4000,256,64,2,32,0.25,0.01,1e-17,42,0.0002,2.8395,measured,/mnt/ssd-2/lucia/paper_runs/tuning/tune_qwen15b_4k_bs256_lr0.0002_s42
tune_qwen15b_8k_bs256_lr1e-05_s42,tune_qwen15b_8k_bs256,qwen15b_8k_bs256,qwen2.5-1.5b,adamw,8000,256,64,2,63,0.25,0.01,1e-17,42,1e-05,2.6504,measured,/mnt/ssd-2/lucia/paper_runs/tuning/tune_qwen15b_8k_bs256_lr1e-05_s42
tune_qwen15b_8k_bs256_lr2e-05_s42,tune_qwen15b_8k_bs256,qwen15b_8k_bs256,qwen2.5-1.5b,adamw,8000,256,64,2,63,0.25,0.01,1e-17,42,2e-05,2.6436,measured,/mnt/ssd-2/lucia/paper_runs/tuning/tune_qwen15b_8k_bs256_lr2e-05_s42
tune_qwen15b_8k_bs256_lr5e-05_s42,tune_qwen15b_8k_bs256,qwen15b_8k_bs256,qwen2.5-1.5b,adamw,8000,256,64,2,63,0.25,0.01,1e-17,42,5e-05,2.6449,measured,/mnt/ssd-2/lucia/paper_runs/tuning/tune_qwen15b_8k_bs256_lr5e-05_s42
tune_qwen15b_8k_bs256_lr0.0001_s42,tune_qwen15b_8k_bs256,qwen15b_8k_bs256,qwen2.5-1.5b,adamw,8000,256,64,2,63,0.25,0.01,1e-17,42,0.0001,2.6803,measured,/mnt/ssd-2/lucia/paper_runs/tuning/tune_qwen15b_8k_bs256_lr0.0001_s42
tune_qwen15b_8k_bs256_lr0.0002_s42,tune_qwen15b_8k_bs256,qwen15b_8k_bs256,qwen2.5-1.5b,adamw,8000,256,64,2,63,0.25,0.01,1e-17,42,0.0002,2.8277,measured,/mnt/ssd-2/lucia/paper_runs/tuning/tune_qwen15b_8k_bs256_lr0.0002_s42
tune_qwen15b_16k_bs256_lr1e-05_s42,tune_qwen15b_16k_bs256,qwen15b_16k_bs256,qwen2.5-1.5b,adamw,16000,256,64,2,125,0.25,0.01,1e-17,42,1e-05,2.6466,measured,/mnt/ssd-2/lucia/paper_runs/tuning/tune_qwen15b_16k_bs256_lr1e-05_s42
tune_qwen15b_16k_bs256_lr2e-05_s42,tune_qwen15b_16k_bs256,qwen15b_16k_bs256,qwen2.5-1.5b,adamw,16000,256,64,2,125,0.25,0.01,1e-17,42,2e-05,2.6397,measured,/mnt/ssd-2/lucia/paper_runs/tuning/tune_qwen15b_16k_bs256_lr2e-05_s42
tune_qwen15b_16k_bs256_lr5e-05_s42,tune_qwen15b_16k_bs256,qwen15b_16k_bs256,qwen2.5-1.5b,adamw,16000,256,64,2,125,0.25,0.01,1e-17,42,5e-05,2.6389,measured,/mnt/ssd-2/lucia/paper_runs/tuning/tune_qwen15b_16k_bs256_lr5e-05_s42
tune_qwen15b_16k_bs256_lr0.0001_s42,tune_qwen15b_16k_bs256,qwen15b_16k_bs256,qwen2.5-1.5b,adamw,16000,256,64,2,125,0.25,0.01,1e-17,42,0.0001,2.6667,measured,/mnt/ssd-2/lucia/paper_runs/tuning/tune_qwen15b_16k_bs256_lr0.0001_s42
tune_qwen15b_16k_bs256_lr0.0002_s42,tune_qwen15b_16k_bs256,qwen15b_16k_bs256,qwen2.5-1.5b,adamw,16000,256,64,2,125,0.25,0.01,1e-17,42,0.0002,2.7860,measured,/mnt/ssd-2/lucia/paper_runs/tuning/tune_qwen15b_16k_bs256_lr0.0002_s42
tune_qwen15b_16k_bs256_lr0.0005_s42,tune_qwen15b_16k_bs256,qwen15b_16k_bs256,qwen2.5-1.5b,adamw,16000,256,64,2,125,0.25,0.01,1e-17,42,0.0005,3.1709,measured,/mnt/ssd-2/lucia/paper_runs/tuning/tune_qwen15b_16k_bs256_lr0.0005_s42
tune_qwen15b_32k_bs256_lr1e-05_s42,tune_qwen15b_32k_bs256,qwen15b_32k_bs256,qwen2.5-1.5b,adamw,32000,256,64,2,250,0.25,0.01,1e-17,42,1e-05,2.6428,measured,/mnt/ssd-2/lucia/paper_runs/tuning/tune_qwen15b_32k_bs256_lr1e-05_s42
tune_qwen15b_32k_bs256_lr2e-05_s42,tune_qwen15b_32k_bs256,qwen15b_32k_bs256,qwen2.5-1.5b,adamw,32000,256,64,2,250,0.25,0.01,1e-17,42,2e-05,2.6368,measured,/mnt/ssd-2/lucia/paper_runs/tuning/tune_qwen15b_32k_bs256_lr2e-05_s42
tune_qwen15b_32k_bs256_lr5e-05_s42,tune_qwen15b_32k_bs256,qwen15b_32k_bs256,qwen2.5-1.5b,adamw,32000,256,64,2,250,0.25,0.01,1e-17,42,5e-05,2.6354,measured,/mnt/ssd-2/lucia/paper_runs/tuning/tune_qwen15b_32k_bs256_lr5e-05_s42
tune_qwen15b_32k_bs256_lr0.0001_s42,tune_qwen15b_32k_bs256,qwen15b_32k_bs256,qwen2.5-1.5b,adamw,32000,256,64,2,250,0.25,0.01,1e-17,42,0.0001,2.6590,measured,/mnt/ssd-2/lucia/paper_runs/tuning/tune_qwen15b_32k_bs256_lr0.0001_s42
tune_qwen15b_32k_bs256_lr0.0002_s42,tune_qwen15b_32k_bs256,qwen15b_32k_bs256,qwen2.5-1.5b,adamw,32000,256,64,2,250,0.25,0.01,1e-17,42,0.0002,2.7590,measured,/mnt/ssd-2/lucia/paper_runs/tuning/tune_qwen15b_32k_bs256_lr0.0002_s42
tune_qwen15b_32k_bs256_lr0.0005_s42,tune_qwen15b_32k_bs256,qwen15b_32k_bs256,qwen2.5-1.5b,adamw,32000,256,64,2,250,0.25,0.01,1e-17,42,0.0005,,diverged,/mnt/ssd-2/lucia/paper_runs/tuning/tune_qwen15b_32k_bs256_lr0.0005_s42
